Date,Close
2018-09-13,2233.46
2018-09-14,2232.07
2018-09-17,2210.99
2018-09-18,2231.04
2018-09-19,2259.1
2018-09-20,2258.63
2018-09-21,2257.47
2018-09-24,2280.6
2018-09-25,2290.19
2018-09-26,2304.45
2018-09-27,2315.07
2018-09-28,2285.11
2018-10-01,2284.01
2018-10-02,2280.04
2018-10-03,2298.2
2018-10-04,2275.65
2018-10-05,2264.2
2018-10-08,2224.13
2018-10-09,2251.32
2018-10-10,2197.34
2018-10-11,2159.88
2018-10-12,2186.62
2018-10-15,2170.05
2018-10-16,2216.8
2018-10-17,2199.53
2018-10-18,2188.1
2018-10-19,2196.99
2018-10-22,2193.08
2018-10-23,2147.81
2018-10-24,2144.4
2018-10-25,2142.69
2018-10-26,2082.77
2018-10-29,2103.72
2018-10-30,2122.73
2018-10-31,2151.88
2018-11-02,2197.68
2018-11-05,2233.74
2018-11-06,2230.34
2018-11-07,2276.65
2018-11-08,2262.84
2018-11-09,2232.25
2018-11-13,2217.97
2018-11-14,2231.9
2018-11-15,2202.91
2018-11-16,2165.46
2018-11-19,2189.73
2018-11-20,2160.57
2018-11-21,2219.62
2018-11-22,2236.35
2018-11-23,2225.39
2018-11-26,2213.57
2018-11-27,2222.85
2018-11-28,2264.51
2018-11-29,2303.37
2018-11-30,2291.08
2018-12-03,2329.37
2018-12-04,2344.91
2018-12-05,2354.54
2018-12-06,2294.34
2018-12-07,2281.54
2018-12-10,2242.1
2018-12-11,2221.37
2018-12-12,2275.15
2018-12-13,2310.66
2018-12-14,2303.41
2018-12-17,2281.87
2018-12-18,2315.18
2018-12-19,2342.81
2018-12-20,2306.68
2018-12-21,2259.77
2018-12-27,2251.38
2018-12-28,2276.63
2019-01-02,2301.62
2019-01-03,2247.22
2019-01-04,2284.95
2019-01-07,2331.45
2019-01-08,2325.19
2019-01-09,2341.84
2019-01-10,2335.31
2019-01-11,2335.1
2019-01-14,2327.66
2019-01-15,2344.56
2019-01-16,2364.17
2019-01-17,2358.97
2019-01-18,2377.87
2019-01-21,2358.3
2019-01-22,2359.23
2019-01-23,2407.09
2019-01-24,2406.38
2019-01-25,2398.74
2019-01-28,2370.62
2019-01-29,2373.3
2019-01-30,2357.79
2019-01-31,2380.11
2019-02-01,2393.43
2019-02-04,2390.46
2019-02-05,2409.32
2019-02-06,2414.41
2019-02-07,2371.33
2019-02-08,2354.11
2019-02-11,2354.28
2019-02-12,2370.99
2019-02-13,2346.39
2019-02-14,2319.92
2019-02-15,2338.2
2019-02-18,2325.67
2019-02-19,2322.41
2019-02-20,2369.7
2019-02-21,2339.85
2019-02-22,2355.77
2019-02-25,2371.69
2019-02-26,2365.93
2019-02-27,2333.81
2019-02-28,2332.23
2019-03-01,2333.11
2019-03-04,2328.05
2019-03-05,2321.32
2019-03-06,2327.16
2019-03-07,2308.48
2019-03-08,2298.97
2019-03-11,2300.22
2019-03-12,2310.1
2019-03-13,2314.79
2019-03-14,2319.28
2019-03-15,2346.25
2019-03-18,2345.84
2019-03-19,2352.42
2019-03-20,2351.83
2019-03-21,2359.02
2019-03-22,2319.1
2019-03-25,2312.79
2019-03-26,2324.91
2019-03-27,2315.17
2019-03-28,2313.77
2019-03-29,2312.09
2019-04-01,2340.74
2019-04-02,2371.14
2019-04-03,2407.63
2019-04-04,2388.59
2019-04-05,2351.08
2019-04-08,2359.52
2019-04-09,2367.84
2019-04-10,2391.8
2019-04-11,2374.97
2019-04-12,2366.71
2019-04-15,2358.19
2019-04-16,2372.18
2019-04-17,2378.31
2019-04-18,2365.36
2019-04-23,2370.63
2019-04-24,2372.33
2019-04-25,2358.76
2019-04-26,2372.25
2019-04-29,2368.08
2019-04-30,2334.21
2019-05-02,2319.08
2019-05-06,2290.13
2019-05-07,2233.8
2019-05-08,2221.82
2019-05-09,2179.4
2019-05-10,2191.91
2019-05-13,2172.97
2019-05-14,2163.94
2019-05-15,2169.18
2019-05-16,2188.43
2019-05-17,2184.35
2019-05-20,2175.51
2019-05-21,2190.93
2019-05-22,2214.36
2019-05-23,2173.09
2019-05-24,2188.2
2019-05-27,2189.66
2019-05-28,2192.87
2019-05-29,2187.45
2019-05-30,2221.56
2019-05-31,2239.31
2019-06-03,2237.71
2019-06-04,2233.75
2019-06-05,2223.27
2019-06-06,2260.94
2019-06-07,2280.6
2019-06-10,2282.51
2019-06-11,2295.6
2019-06-12,2282.8
2019-06-13,2300.2
2019-06-14,2286.46
2019-06-17,2276.6
2019-06-18,2325.16
2019-06-19,2319.71
2019-06-21,2308.32
2019-06-24,2331.08
2019-06-25,2303.31
2019-06-26,2317.17
2019-06-27,2335.13
2019-06-28,2327.67
2019-07-01,2329.74
2019-07-02,2341.09
2019-07-03,2345.56
2019-07-04,2356.49
2019-07-05,2342.01
2019-07-08,2339.07
2019-07-09,2312.63
2019-07-10,2312.77
2019-07-11,2316.95
2019-07-12,2315.36
2019-07-15,2324.21
2019-07-16,2321.52
2019-07-17,2306.67
2019-07-18,2321.41
2019-07-19,2344.03
2019-07-22,2342.51
2019-07-23,2335.86
2019-07-24,2335.41
2019-07-25,2310.31
2019-07-26,2305.79
2019-07-29,2285.93
2019-07-30,2263.92
2019-07-31,2277.37
2019-08-01,2240.78
2019-08-02,2216.51
2019-08-05,2164.14
2019-08-06,2156.23
2019-08-07,2138.23
2019-08-08,2158.88
2019-08-09,2127.61
2019-08-12,2109.73
2019-08-13,2140.19
2019-08-14,2078.39
2019-08-16,2064.12
2019-08-19,2102.23
2019-08-20,2110.11
2019-08-21,2105.88
2019-08-22,2108.05
2019-08-23,2103.68
2019-08-26,2098.41
2019-08-27,2095.45
2019-08-28,2051.44
2019-08-29,2069.33
2019-08-30,2135.25
2019-09-02,2144.48
2019-09-03,2107.16
2019-09-04,2102.73
2019-09-05,2106.89
2019-09-06,2122.6
2019-09-09,2174.41
2019-09-10,2187.8
2019-09-11,2189.21
2019-09-12,2189.07
2019-09-13,2200.95
2019-09-16,2217.84
2019-09-17,2192.71
2019-09-18,2205.02
2019-09-19,2191.61
2019-09-20,2171.75
2019-09-23,2147.32
2019-09-24,2175.24
2019-09-25,2159.68
2019-09-26,2172.47
2019-09-27,2186.31
2019-09-30,2173.29
2019-10-01,2152.5
2019-10-02,2098.28
2019-10-03,2099.3
2019-10-04,2121.16
2019-10-07,2121.87
2019-10-08,2131.83
2019-10-09,2134.37
2019-10-10,2122.99
2019-10-11,2159.91
2019-10-14,2148.53
2019-10-15,2154.8
2019-10-16,2156.06
2019-10-17,2173.75
2019-10-18,2164.75
2019-10-21,2183.25
2019-10-22,2212.15
2019-10-23,2208.54
2019-10-24,2208.36
2019-10-25,2175.27
2019-10-28,2211.8
2019-10-29,2227.93
2019-10-30,2227.38
2019-10-31,2194.1
2019-11-04,2264.06
2019-11-05,2272.45
2019-11-06,2255.34
2019-11-07,2272.17
2019-11-08,2255.46
2019-11-12,2248.81
2019-11-13,2235.52
2019-11-14,2226.15
2019-11-15,2233.87
2019-11-18,2229.92
2019-11-19,2207.25
2019-11-20,2194.58
2019-11-21,2179.53
2019-11-22,2188.24
2019-11-25,2197.54
2019-11-26,2190.58
2019-11-27,2181.33
2019-11-28,2169.09
2019-11-29,2158.94
2019-12-02,2122.3
2019-12-03,2089.92
2019-12-04,2081.89
2019-12-05,2092.12
2019-12-06,2073.11
2019-12-09,2066.55
2019-12-10,2054.11
2019-12-11,2047.34
2019-12-12,2102.19
2019-12-13,2106.51
2019-12-16,2112.93
2019-12-17,2132.25
2019-12-18,2131.85
2019-12-19,2133.72
2019-12-20,2128.04
2019-12-23,2142.54
2019-12-27,2151.74
2019-12-30,2150.09
2020-01-02,2200.1
2020-01-03,2173.97
2020-01-07,2145.01
2020-01-08,2115.99
2020-01-09,2157.61
2020-01-10,2167.91
2020-01-13,2194.42
2020-01-14,2182.96
2020-01-15,2165.08
2020-01-16,2173.74
2020-01-17,2175.95
2020-01-20,2178.06
2020-01-21,2158.04
2020-01-22,2146.56
2020-01-23,2148.41
2020-01-24,2154.28
2020-01-27,2083.79
2020-01-28,2098.04
2020-01-29,2098.18
2020-01-30,2079.98
2020-01-31,2065.9
2020-02-03,2072.88
2020-02-04,2106.63
2020-02-05,2122.91
2020-02-06,2111.76
2020-02-07,2110.2
2020-02-10,2092.89
2020-02-11,2107.4
2020-02-12,2126.31
2020-02-13,2120.07
2020-02-14,2115.29
2020-02-17,2121.14
2020-02-18,2113.49
2020-02-19,2115.18
2020-02-20,2099.88
2020-02-21,2088.53
2020-02-24,2000.9
2020-02-25,1945.71
2020-02-26,1933.51
2020-02-27,1850.61
2020-02-28,1768.91
2020-03-02,1807.7
2020-03-03,1889.67
2020-03-04,1860.95
2020-03-05,1822.85
2020-03-06,1764.81
2020-03-09,1625.99
2020-03-10,1599.48
2020-03-11,1505.64
2020-03-12,1305.73
2020-03-13,1365.97
2020-03-16,1341.54
2020-03-17,1429.28
2020-03-18,1401.29
2020-03-19,1469.43
2020-03-20,1488.42
2020-03-23,1405.45
2020-03-24,1451.02
2020-03-25,1441.83
2020-03-26,1492.01
2020-03-27,1475.9
2020-03-30,1477.65
2020-03-31,1512.84
2020-04-01,1482.42
2020-04-02,1491.55
2020-04-03,1506.48
2020-04-06,1581.05
2020-04-07,1603.5
2020-04-08,1579.18
2020-04-09,1615.72
2020-04-14,1662.4
2020-04-15,1606.21
2020-04-16,1597.9
2020-04-17,1625.59
2020-04-20,1640.06
2020-04-21,1573.44
2020-04-22,1605.12
2020-04-23,1626.1
2020-04-24,1601.91
2020-04-27,1591.97
2020-04-28,1594.25
2020-04-29,1651.33
2020-04-30,1648.68
2020-05-04,1600.65
2020-05-05,1598.84
2020-05-06,1567.98
2020-05-07,1587.35
2020-05-08,1606.5
2020-05-11,1587.31
2020-05-12,1622.51
2020-05-13,1614.32
2020-05-14,1579.16
2020-05-15,1572.55
2020-05-18,1639.08
2020-05-19,1640.18
2020-05-20,1652.64
2020-05-21,1637.84
2020-05-22,1630.44
2020-05-25,1644.74
2020-05-26,1709.71
2020-05-27,1707.59
2020-05-28,1718.45
2020-05-29,1722.65
2020-06-01,1733.52
2020-06-02,1736.36
2020-06-03,1766.85
2020-06-04,1786.58
2020-06-05,1842.47
2020-06-08,1841.25
2020-06-09,1835.59
2020-06-10,1841.18
2020-06-12,1788.83
2020-06-15,1741.47
2020-06-16,1798.0
2020-06-17,1787.81
2020-06-18,1795.86
2020-06-19,1807.85
2020-06-22,1797.05
2020-06-23,1825.99
2020-06-24,1784.23
2020-06-25,1793.36
2020-06-26,1759.43
2020-06-29,1769.47
2020-06-30,1758.82
2020-07-01,1772.38
2020-07-02,1804.01
2020-07-03,1800.96
2020-07-06,1818.55
2020-07-07,1800.93
2020-07-08,1788.22
2020-07-09,1791.68
2020-07-10,1797.27
2020-07-13,1801.64
2020-07-14,1771.7
2020-07-15,1794.78
2020-07-16,1799.08
2020-07-17,1796.04
2020-07-20,1840.6
2020-07-21,1845.34
2020-07-22,1830.61
2020-07-23,1820.25
2020-07-24,1810.33
2020-07-27,1830.87
2020-07-28,1823.52
2020-07-29,1824.53
2020-07-30,1763.22
2020-07-31,1767.54
2020-08-03,1804.38
2020-08-04,1811.46
2020-08-05,1833.2
2020-08-06,1818.64
2020-08-07,1817.23
2020-08-10,1823.15
2020-08-11,1847.73
2020-08-12,1855.86
2020-08-13,1858.35
2020-08-14,1856.56
2020-08-17,1862.12
2020-08-18,1840.33
2020-08-19,1833.22
2020-08-20,1815.03
2020-08-21,1820.6
2020-08-24,1841.46
2020-08-25,1821.29
2020-08-26,1848.35
2020-08-27,1846.5
2020-08-28,1829.79
2020-08-31,1800.21
2020-09-01,1772.61
2020-09-02,1785.44
2020-09-03,1769.19
2020-09-04,1758.11
2020-09-07,1772.85
2020-09-08,1733.88
2020-09-09,1773.37
2020-09-10,1764.86
2020-09-11,1772.89
2020-09-14,1758.65
2020-09-15,1743.93
2020-09-16,1738.1
2020-09-17,1745.73
2020-09-18,1731.76
2020-09-21,1682.26
2020-09-22,1693.09
2020-09-23,1685.4
2020-09-24,1665.96
2020-09-25,1674.14
2020-09-28,1738.44
2020-09-29,1718.21
2020-09-30,1712.73
2020-10-01,1694.18
2020-10-02,1697.39
2020-10-05,1731.85
2020-10-06,1735.45
2020-10-07,1736.61
2020-10-08,1719.91
2020-10-09,1698.91
2020-10-12,1683.21
2020-10-13,1660.12
2020-10-14,1670.26
2020-10-15,1627.59
2020-10-16,1655.36
2020-10-19,1648.11
2020-10-20,1656.34
2020-10-21,1641.42
2020-10-22,1642.7
2020-10-23,1645.32
2020-10-26,1631.66
2020-10-27,1625.54
2020-10-28,1549.74
2020-10-29,1542.76
2020-10-30,1515.97
2020-11-02,1556.14
2020-11-03,1636.28
2020-11-04,1640.94
2020-11-05,1670.43
2020-11-06,1697.49
2020-11-09,1765.71
2020-11-10,1779.34
2020-11-12,1771.49
2020-11-13,1749.41
2020-11-16,1799.02
2020-11-17,1793.56
2020-11-18,1810.43
2020-11-19,1789.79
2020-11-20,1820.85
2020-11-23,1832.04
